# time(us)	raw_signal(mV)	one_component(mV)	two_component(mV)	sum_components(mV)
-2.180081803611369828e+00 2.528469176014529474e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.178081803667933691e+00 2.744469183654634215e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.176081803724497554e+00 2.528469176014529474e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.174081803781061417e+00 2.384469170921126313e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.172081803837625280e+00 1.844469151820864461e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.170081803894189143e+00 1.304469132720602609e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.168081803950753006e+00 9.084691187137440282e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.166081804007316869e+00 5.124691047068853367e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.164081804063880732e+00 -4.235309284002352626e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.162081804120444595e+00 -8.195309424070938986e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.160081804177008458e+00 -1.215530956413952701e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.158081804233572321e+00 -1.251530957687303491e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.156081804290136184e+00 -1.431530964054057442e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.154081804346700046e+00 -1.251530957687303491e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.152081804403263909e+00 -9.275309462271462690e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
