# time	signal	sigma
-1.999999943436137073e-06	-2.119667271470131577e-04	1.913720605669124927e-03
-1.997999943492700936e-06	-2.155974197270864908e-04	1.911143876458501175e-03
-1.995999943549264799e-06	-2.172817616456773225e-04	1.913926226955605606e-03
-1.993999943605828662e-06	-2.197146999725307069e-04	1.909960605266706806e-03
-1.991999943662392525e-06	-2.194452052655560957e-04	1.905237459953931008e-03
-1.989999943718956388e-06	-2.230983557378780088e-04	1.899378141221576494e-03
-1.987999943775520251e-06	-2.228887487435644345e-04	1.893547683324189315e-03
-1.985999943832084114e-06	-2.231881873068692658e-04	1.887711217108563799e-03
-1.983999943888647977e-06	-2.216535646699311344e-04	1.884523533752395725e-03
-1.981999943945211839e-06	-2.191682245944993836e-04	1.885649767487254398e-03
-1.979999944001775702e-06	-2.169149494056288113e-04	1.886880143034642358e-03
-1.977999944058339565e-06	-2.149161969955682143e-04	1.885456560215421342e-03
-1.975999944114903428e-06	-2.127377814475245072e-04	1.887362627081915325e-03
-1.973999944171467291e-06	-2.074751486974393594e-04	1.888495484158946025e-03
-1.971999944228031154e-06	-2.063971698695409691e-04	1.891739360503411982e-03
-1.969999944284595017e-06	-2.063821979413748154e-04	1.895121233394234756e-03
-1.967999944341158880e-06	-2.100802641981912050e-04	1.898555054451486410e-03
-1.965999944397722743e-06	-2.089798274780448311e-04	1.899586441275776319e-03
-1.963999944454286606e-06	-2.112855044154933633e-04	1.903868286434240442e-03
-1.961999944510850469e-06	-2.127602393397706477e-04	1.906284069644508319e-03
-1.959999944567414332e-06	-2.163460161353484201e-04	1.908617575562178686e-03
-1.957999944623978195e-06	-2.173042195379245472e-04	1.903989520716704810e-03
-1.955999944680542058e-06	-2.173191914660899419e-04	1.903330585951574323e-03
-1.953999944737105920e-06	-2.135387796043637459e-04	1.904858897357384739e-03
-1.951999944793669783e-06	-2.119966710033425105e-04	1.901497914343887319e-03
-1.949999944850233646e-06	-2.086504450584097253e-04	1.897112807976836322e-03
-1.947999944906797509e-06	-2.004982301724310184e-04	1.894161998753193755e-03
-1.945999944963361372e-06	-1.967327902388706236e-04	1.889832893342139122e-03
-1.943999945019925235e-06	-1.914776434528668450e-04	1.886139340075958064e-03
-1.941999945076489098e-06	-1.851744616952949777e-04	1.881779763069449081e-03
-1.939999945133052961e-06	-1.826217479431192488e-04	1.879848059957926580e-03
-1.937999945189616824e-06	-1.802337254007612083e-04	1.877920320369107264e-03
-1.935999945246180687e-06	-1.774339748338589332e-04	1.881136940658920597e-03
-1.933999945302744550e-06	-1.733690963369924332e-04	1.879483124620720796e-03
-1.931999945359308413e-06	-1.728825086716216587e-04	1.881783869956550528e-03
-1.929999945415872276e-06	-1.721339122633587808e-04	1.881132152730351356e-03
-1.927999945472436139e-06	-1.723809490780847577e-04	1.885840700430228964e-03
-1.925999945529000001e-06	-1.711008492199553278e-04	1.887016819003026896e-03
-1.923999945585563864e-06	-1.735337875468087934e-04	1.884801282042507589e-03
-1.921999945642127727e-06	-1.732792647679994957e-04	1.887258642627866450e-03
-1.919999945698691590e-06	-1.753603627829696822e-04	1.884087081064913464e-03
-1.917999945755255453e-06	-1.748363452971859089e-04	1.885169137286162597e-03
-1.915999945811819316e-06	-1.753528768188875270e-04	1.886752275712278749e-03
-1.913999945868383179e-06	-1.741176927452543083e-04	1.894854151592605292e-03
-1.911999945924947042e-06	-1.727253034258855835e-04	1.897458881342409297e-03
-1.909999945981510905e-06	-1.699554967153129052e-04	1.899962205058284203e-03
-1.907999946038074768e-06	-1.724333508266619316e-04	1.900458937379476609e-03
-1.905999946094638631e-06	-1.732717788039161478e-04	1.904187951036163994e-03
-1.903999946151202494e-06	-1.742599260628224680e-04	1.904167870852245797e-03
-1.901999946207766357e-06	-1.743497576318141316e-04	1.906694762657387123e-03
-1.899999946264330219e-06	-1.760490714785707374e-04	1.905257588983149840e-03
-1.897999946320894082e-06	-1.745069628775496376e-04	1.903707750673369744e-03
-1.895999946377457945e-06	-1.741326646734184290e-04	1.901557455865711182e-03
-1.893999946434021808e-06	-1.741102067811707435e-04	1.901546050563014114e-03
-1.891999946490585671e-06	-1.725381543238190712e-04	1.899334997205155175e-03
-1.889999946547149534e-06	-1.711682228966981674e-04	1.900498777463662491e-03
-1.887999946603713397e-06	-1.749336628302598090e-04	1.901478791092918669e-03
-1.885999946660277260e-06	-1.772992274803699201e-04	1.901324094535323606e-03
-1.883999946716841123e-06	-1.803609867901642444e-04	1.903028713824022212e-03
-1.881999946773404986e-06	-1.856086476120854612e-04	1.901471900071812935e-03
-1.879999946829968849e-06	-1.897708436420261595e-04	1.900593020313112638e-03
-1.877999946886532712e-06	-1.933042186890260262e-04	1.898935625972924352e-03
-1.875999946943096575e-06	-1.962387166094161218e-04	1.896363420964606574e-03
-1.873999946999660438e-06	-2.040840069680088451e-04	1.901091371306512382e-03
-1.871999947056224300e-06	-2.089723415139640311e-04	1.901050850154491559e-03
-1.869999947112788163e-06	-2.154477004454356879e-04	1.900328968479034339e-03
-1.867999947169352026e-06	-2.202012876379032160e-04	1.902139337620536953e-03
-1.865999947225915889e-06	-2.272904956241502826e-04	1.898952265476017663e-03
-1.863999947282479752e-06	-2.332418370698372716e-04	1.894315608312237753e-03
-1.861999947339043615e-06	-2.404358485532404207e-04	1.882954666996087753e-03
-1.859999947395607478e-06	-2.461551251123668817e-04	1.876090460562610364e-03
-1.857999947452171341e-06	-2.511856929758913117e-04	1.865090819109547137e-03
-1.855999947508735204e-06	-2.554302346107402985e-04	1.858162290438205178e-03
-1.853999947565299067e-06	-2.521962981270454529e-04	1.849410223771614636e-03
-1.851999947621862930e-06	-2.509461421252469479e-04	1.847656319779684758e-03
-1.849999947678426793e-06	-2.483485125885758751e-04	1.852009894891049448e-03
-1.847999947734990656e-06	-2.464395917475062912e-04	1.856688432767015368e-03
-1.845999947791554519e-06	-2.452268655661206495e-04	1.857304134512821831e-03
